Onions,8039E43306E35287A6467D06DFD5ADD6681D4C82,MGE,18.238.2.85,443,6.091556,269315,42.364601/-71.102798,2015-07-10T00:00:00.000Z
QYY1702,D866A93C207EBB14ED68E7D0E0A0BAD266185205,ME,37.220.31.113,443,0.437572,165493,51.500000/-0.130000,2015-07-10T00:00:00.000Z
OrbotRelay,713EA6132E4E43BBD8DFE0EFC8D3B22411785DE2,M,46.14.109.179,9002,0.065577,338654,47.000000/8.000000,2015-07-10T00:00:00.000Z
Unnamed,23D89BC7188B07AF7BAB7E204621F748D6984718,ME,93.220.17.61,9001,0.98686,63,52.516701/13.400000,2015-07-10T00:00:00.000Z
rkn1,6DEE3AC6D0FA8BCC12915062D527AEBFEB8B926E,MGH,37.48.65.122,22,8.005702,1800415,52.349998/4.916700,2015-07-10T00:00:00.000Z
rasptorpipi2,37535409102DFFE92F3DAC809E470E62BC27F1DF,M,78.56.40.22,9001,1.205248,62,56.000000/24.000000,2015-07-10T00:00:00.000Z
MorningStar,109E129FD742720191E1AE3DB6C1B451FEC9E45F,MH,50.69.29.63,9001,0.062297,1982207,43.642502/-79.387199,2015-07-10T00:00:00.000Z
redonion,00339258B444376593E069201C4A4AA45F95AA87,MH,66.172.33.106,9001,0.113312,5116802,34.052299/-118.385201,2015-07-10T00:00:00.000Z
Unnamed,3C65BD79404611F2892FDE7624CDDAD218425AE6,MG,178.32.219.48,9001,19.494055,1507770,48.860001/2.350000,2015-07-10T00:00:00.000Z
oneringtorule,5F611F08EC4270DE0C69D42C03B66C8F170B5EE8,MG,144.76.182.202,9001,9.485854999999999,194529,51.000000/9.000000,2015-07-10T00:00:00.000Z
iedittheconfig,C6A6FD96C66C9E6A49638384E67200E87EE162F7,MH,195.154.10.155,9001,0.9842369999999999,4108108,48.860001/2.350000,2015-07-10T00:00:00.000Z
IndiaTorLand,3548630C33D04D1238A0EB845442CA3F41185EA4,M,49.205.37.198,443,0.9533440000000001,62,20.000000/77.000000,2015-07-10T00:00:00.000Z
ididnteditheconfig,60A756EC3F618D19B63A52A7643E775A9A421603,M,173.78.125.65,9001,0.453632,9699,27.943001/-82.524002,2015-07-10T00:00:00.000Z
ZwiebelNode,B2DDB9F22A09907A96294C363011855A892C56C8,M,87.118.98.187,9001,0.914693,940071,51.000000/9.000000,2015-07-10T00:00:00.000Z
Antares,17BE657897DF212756D478898C3BAB67070A8811,M,89.0.84.174,9834,0.064997,76,50.800098/7.049000,2015-07-10T00:00:00.000Z
CatButtsAreFunny,5B228E99B430A0D5602E2788BE3A7E46A75F8609,MG,46.101.157.55,9001,6.4932240000000006,518774,50.116699/8.683300,2015-07-10T00:00:00.000Z
faispasser,05306030EC5AAEB1B385CBB69B4D682286396307,M,82.241.236.87,9002,0.069846,64970,48.881699/2.382200,2015-07-10T00:00:00.000Z
idideditheconfig,88F3D3ECF905C0121A38618F479905A6C806E4A7,ME,194.74.181.78,9001,0.13482,273829,51.500000/-0.130000,2015-07-10T00:00:00.000Z
moses,D0E1962B2460BA54D81E1426300D09720E6D43EB,MH,69.164.211.18,9090,2.006312,869836,39.489899/-74.477303,2015-07-10T00:00:00.000Z
SomeUnnamedRElay,A6D30671FD48AE2AD3A5A15F9232D03F94B0B297,MGH,89.179.10.64,9001,2.392487,843150,58.009300/56.284100,2015-07-10T00:00:00.000Z
EFFisMyHero,29A9CA1B82523AAD32EC7165DC0F0A73BF3D7CE1,MG,162.243.73.156,443,4.578856,16492817,40.714298/-74.005997,2015-07-10T00:00:00.000Z
bovr01,03DB7AA9144CA60AD3E1B0B17CF1F16DF61A8517,M,184.146.146.120,9001,0.123045,64965,43.445301/-79.709503,2015-07-10T00:00:00.000Z
kaplanCS,1F174BAE730A0743C4BB1D9518310E4DBFE29895,MEH,198.73.50.71,443,0.9703780000000001,1449011,43.779701/-79.415604,2015-07-10T00:00:00.000Z
